Rank,Title,Genre,Studio
9,Chained Soldier Season 2,"['Action', 'Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Romance']","Passione, Hayabusa Film"
10,Hell’s Paradise Season 2,"['Action', 'Adventure', 'Mystery', 'Supernatural']",MAPPA
11,You and I Are Polar Opposites,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",Lapin Track
12,Hunter x Hunter (2011),"['Action', 'Adventure', 'Fantasy']",MADHOUSE
13,Tamon's B-Side,"['Comedy', 'Romance']",J.C.STAFF
14,Easygoing Territory Defense by the Optimistic Lord,"['Adventure', 'Fantasy']",NAZ
15,DARK MOON: THE BLOOD ALTAR,['Supernatural'],TROYCA
16,"There was a Cute Girl in the Hero’s Party, so I Tried Confessing to Her","['Adventure', 'Comedy', 'Fantasy', 'Romance']",Gekkou
17,SHIBOYUGI: Playing Death Games to Put Food on the Table,"['Action', 'Drama', 'Mystery', 'Thriller']",Studio DEEN
18,Gachiakuta,"['Action', 'Drama', 'Fantasy']",bones film
19,ROLL OVER AND DIE: I Will Fight for an Ordinary Life with My Love and Cursed Sword!,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",A.C.G.T.
20,The Holy Grail of Eris,"['Drama', 'Fantasy', 'Mystery', 'Romance', 'Supernatural']",Ashi Productions
21,Bleach,"['Action', 'Adventure', 'Supernatural']",Studio Pierrot
22,JUJUTSU KAISEN Season 2,"['Action', 'Drama', 'Supernatural']",MAPPA
23,Fate/strange Fake,"['Action', 'Adventure', 'Fantasy', 'Mystery', 'Supernatural']",A-1 Pictures
24,Frieren: Beyond Journey’s End,"['Adventure', 'Drama', 'Fantasy']",MADHOUSE
